FECHA;CANTIDAD
15/11/2006;66
16/11/2006;59
17/11/2006;83
18/11/2006;61
20/11/2006;62
21/11/2006;59
22/11/2006;47
23/11/2006;71
24/11/2006;63
25/11/2006;51
27/11/2006;52
28/11/2006;51
29/11/2006;79
30/11/2006;61
01/12/2006;61
02/12/2006;51
04/12/2006;82
05/12/2006;120
06/12/2006;65
07/12/2006;75
08/12/2006;51
09/12/2006;65
11/12/2006;72
12/12/2006;75
13/12/2006;74
14/12/2006;98
15/12/2006;83
16/12/2006;52
18/12/2006;69
19/12/2006;86
20/12/2006;66
21/12/2006;82
22/12/2006;56
23/12/2006;63
26/12/2006;77
27/12/2006;81
28/12/2006;56
29/12/2006;61
30/12/2006;26
02/01/2007;43
03/01/2007;59
04/01/2007;49
05/01/2007;80
06/01/2007;47
08/01/2007;61
09/01/2007;98
10/01/2007;77
11/01/2007;85
12/01/2007;76
13/01/2007;46
15/01/2007;58
16/01/2007;70
17/01/2007;70
18/01/2007;62
19/01/2007;67
20/01/2007;52
22/01/2007;63
23/01/2007;58
24/01/2007;50
25/01/2007;38
26/01/2007;59
27/01/2007;58
29/01/2007;77
30/01/2007;57
31/01/2007;56
01/02/2007;77
02/02/2007;72
03/02/2007;42
05/02/2007;69
06/02/2007;74
07/02/2007;80
08/02/2007;60
09/02/2007;58
10/02/2007;48
12/02/2007;62
13/02/2007;41
14/02/2007;47
15/02/2007;52
16/02/2007;68
17/02/2007;46
21/02/2007;67
22/02/2007;54
23/02/2007;57
24/02/2007;47
26/02/2007;57
27/02/2007;62
28/02/2007;63
01/03/2007;63
02/03/2007;75
03/03/2007;32
05/03/2007;40
06/03/2007;60
07/03/2007;67
08/03/2007;66
09/03/2007;60
10/03/2007;41
12/03/2007;57
13/03/2007;53
14/03/2007;77
15/03/2007;57
16/03/2007;59
17/03/2007;60
19/03/2007;64
20/03/2007;65
21/03/2007;66
22/03/2007;76
23/03/2007;64
24/03/2007;34
26/03/2007;90
27/03/2007;64
28/03/2007;68
29/03/2007;65
30/03/2007;42
31/03/2007;58
02/04/2007;57
03/04/2007;64
04/04/2007;45
05/04/2007;64
07/04/2007;53
09/04/2007;44
10/04/2007;56
11/04/2007;42
12/04/2007;46
13/04/2007;50
14/04/2007;47
16/04/2007;70
17/04/2007;77
18/04/2007;54
19/04/2007;48
20/04/2007;57
21/04/2007;49
23/04/2007;76
24/04/2007;66
25/04/2007;51
26/04/2007;54
27/04/2007;46
28/04/2007;42
30/04/2007;72
01/05/2007;26
02/05/2007;74
03/05/2007;60
04/05/2007;51
05/05/2007;60
07/05/2007;78
08/05/2007;69
09/05/2007;78
10/05/2007;68
11/05/2007;62
12/05/2007;29
14/05/2007;51
15/05/2007;56
16/05/2007;56
17/05/2007;44
18/05/2007;44
19/05/2007;58
21/05/2007;70
22/05/2007;49
23/05/2007;60
24/05/2007;72
25/05/2007;35
26/05/2007;46
28/05/2007;56
29/05/2007;55
30/05/2007;49
31/05/2007;49
01/06/2007;62
02/06/2007;59
04/06/2007;54
05/06/2007;86
06/06/2007;65
07/06/2007;43
08/06/2007;53
09/06/2007;57
11/06/2007;72
12/06/2007;82
13/06/2007;47
14/06/2007;44
15/06/2007;58
16/06/2007;36
18/06/2007;76
19/06/2007;58
20/06/2007;60
21/06/2007;61
22/06/2007;39
23/06/2007;45
25/06/2007;77
26/06/2007;56
27/06/2007;47
28/06/2007;57
29/06/2007;63
30/06/2007;42
02/07/2007;52
03/07/2007;52
04/07/2007;57
05/07/2007;64
06/07/2007;64
07/07/2007;56
09/07/2007;66
10/07/2007;55
11/07/2007;76
12/07/2007;61
13/07/2007;50
14/07/2007;50
16/07/2007;69
17/07/2007;72
18/07/2007;78
19/07/2007;67
20/07/2007;57
21/07/2007;45
23/07/2007;74
24/07/2007;57
25/07/2007;22
26/07/2007;73
27/07/2007;44
28/07/2007;50
30/07/2007;69
31/07/2007;74
01/08/2007;43
02/08/2007;61
03/08/2007;63
04/08/2007;54
06/08/2007;73
07/08/2007;77
08/08/2007;75
09/08/2007;50
10/08/2007;45
11/08/2007;30
13/08/2007;60
14/08/2007;58
15/08/2007;65
16/08/2007;71
17/08/2007;51
18/08/2007;65
20/08/2007;44
21/08/2007;78
22/08/2007;79
23/08/2007;68
24/08/2007;51
25/08/2007;35
27/08/2007;65
28/08/2007;62
29/08/2007;90
30/08/2007;56
31/08/2007;55
01/09/2007;57
03/09/2007;65
04/09/2007;59
05/09/2007;49
06/09/2007;76
07/09/2007;56
08/09/2007;54
10/09/2007;63
11/09/2007;87
12/09/2007;56
13/09/2007;86
14/09/2007;59
15/09/2007;43
17/09/2007;70
18/09/2007;75
19/09/2007;51
20/09/2007;89
21/09/2007;66
22/09/2007;37
24/09/2007;70
25/09/2007;63
26/09/2007;60
27/09/2007;79
28/09/2007;64
29/09/2007;49
01/10/2007;71
02/10/2007;65
03/10/2007;82
04/10/2007;88
05/10/2007;74
06/10/2007;55
08/10/2007;85
09/10/2007;99
10/10/2007;78
11/10/2007;81
12/10/2007;41
13/10/2007;51
15/10/2007;92
16/10/2007;80
17/10/2007;70
18/10/2007;62
19/10/2007;79
20/10/2007;60
22/10/2007;87
23/10/2007;95
24/10/2007;87
25/10/2007;63
26/10/2007;81
27/10/2007;64
29/10/2007;88
30/10/2007;62
31/10/2007;82
01/11/2007;75
03/11/2007;32
05/11/2007;60
06/11/2007;66
07/11/2007;96
08/11/2007;101
09/11/2007;62
10/11/2007;62
12/11/2007;87
13/11/2007;69
14/11/2007;86
